Country,Denomination,Currency,Symbol,Year,Weight(g),Diameter(mm),Thickness(mm),Shape,EdgeType,Edge Inscription,FrontDesign,BackDesign,Designer,History,Quantity,Image,Notes
UK,50,Pence,p,2005,8,27.3,1.78,Septagon,Plain,,Elizabeth II,The 250th Anniversary of Samuel Johnson's Dictionary of the English Language,Tom Phillips,"Entries from the Dictionary for the words FIFTY and PENCE, with the figure 50 above, and the inscription JOHNSON'S DICTIONARY 1755 below.",1,,
UK,50,Pence,p,2011,8,27.3,1.78,Septagon,Plain,,Elizabeth II,Archery,Piotr Powaga,"A bow being drawn, with the London 2012 Paralympic logo above and the denomination 50 PENCE below.",1,,
UK,50,Pence,p,2016,8,27.3,1.78,Septagon,Plain,,Elizabeth II,The 150th Anniversary of the Birth of Beatrix Potter 1866 - 1948,Emma Noble,,1,,
UK,50,Pence,p,2013,8,27.3,1.78,Septagon,Plain,,Elizabeth II,The 100th Anniversary of the Birth of Christopher Ironside,Christopher Ironside,,1,,
UK,50,Pence,p,2000,8,27.3,1.78,Septagon,Plain,,Elizabeth II,The 150th Anniversary of the Public Libraries Act 1850 - 2000,Mary Milner Dickens,,1,,
UK,50,Pence,p,2016,8,27.3,1.78,Septagon,Plain,,Elizabeth II,Battle of Hastings 1066, John Bergdahl,,1,,
UK,50,Pence,p,2016,8,27.3,1.78,Septagon,Plain,,Elizabeth II,Peter Rabbit (which one?),Emma Noble,,1,,
UK,50,Pence,p,2022,8,27.3,1.78,Septagon,Plain,,Elizabeth II,The Platinum Jubilee of Her Majesty Queen Elizabeth II,Osborne Ross,70 ER 1952 - 2022,1,,
UK,50,Pence,p,2022,8,27.3,1.78,Septagon,Plain,,Elizabeth II,Celebrating 50 Years of Pride, Dominique Holmes,,1,,
UK,50,Pence,p,2007,8,27.3,1.78,Septagon,Plain,,Elizabeth II,The Centenary of the Foundation of the Scouting Movement 1907,Kerry Jones,"A fleur-de-lis, superimposed over a globe and surrounded by the inscription BE PREPARED, the dates 1907 and 2007, and the denomination FIFTY PENCE.",1,,
UK,50,Pence,p,2007,8,27.3,1.78,Septagon,Plain,,Elizabeth II,The Centenary of the Foundation of the Scouting Movement 1908,Kerry Jones,"A fleur-de-lis, superimposed over a globe and surrounded by the inscription BE PREPARED, the dates 1907 and 2007, and the denomination FIFTY PENCE.",1,,
UK,50,Pence,p,2014,8,27.3,1.78,Septagon,Plain,,Elizabeth II,Common Wealth Games Glasgow,Alex Loudon with Dan Flashman,,2,,
